meta_score,title,platform,date,user_score,esrb_rating,developers,genres
75,Dragon Ball: Xenoverse 2,Switch,9/22/2017,7.6,T,Dimps Corporation,"Action, Fighting, 3D"
79,Pokken Tournament DX,Switch,9/22/2017,7.6,E10+,Bandai Namco Games,"Action, Fighting, 3D"
85,Metroid: Samus Returns,3DS,9/15/2017,8.8,E10+,Mercury Steam,"Action Adventure, Open-World"
,ARMS: Lola Pop,Switch,9/13/2017,,,Nintendo,"Action, Fighting, 3D"
79,Monster Hunter Stories,3DS,9/8/2017,8.3,E10+,Capcom,"Role-Playing, Action RPG, Japanese-Style"
70,Sine Mora EX,Switch,8/8/2017,7.3,M,Grasshopper Manufacture,"Action, Shooter, ""Shoot-Em-Up"", Horizontal"
69,Hey! Pikmin,3DS,7/28/2017,6.8,E10+,"Nintendo,  Arzest","Action, Platformer, 2D"
67,Miitopia,3DS,7/28/2017,7.8,E,Nintendo,"Action, General"
83,Splatoon 2,Switch,7/21/2017,8.5,E10+,Nintendo,"Action, Shooter, Third-Person, Arcade"
73,Laytons Mystery Journey: Katrielle and The Millionaires Conspiracy,iOS,7/20/2017,7.9,,Level 5,"Puzzle, General"
,Miitopia: Casting Call,3DS,7/13/2017,7.1,E,Nintendo,"Miscellaneous, Application"
,ARMS: Max Brass,Switch,7/12/2017,7.3,,Nintendo,"Action, Fighting, 3D"
53,Flip Wars,Switch,7/6/2017,6,T,"OVER FENCE CO., LTD.,  Over Fence","Puzzle, General"
69,Kirbys Blowout Blast,3DS,7/6/2017,7.1,E,"Nintendo,  HAL Labs","Action, General"
78,The Legend of Zelda: Breath of the Wild - The Master Trials,Switch,6/30/2017,7.7,E10+,Nintendo,"Action Adventure, Open-World"
,The Legend of Zelda: Breath of the Wild - The Master Trials,WIIU,6/30/2017,8.6,E10+,Nintendo,"Action Adventure, Open-World"
76,Ever Oasis,3DS,6/23/2017,8.1,E10+,GREZZO,"Role-Playing, Action RPG"
,Fire Emblem Echoes: Shadows of Valentia - Cipher Legends I,3DS,6/22/2017,,T,Intelligent Systems,"Strategy, Turn-Based, Tactics"
,Fire Emblem Echoes: Shadows of Valentia - Cipher Legends II,3DS,6/22/2017,,T,Intelligent Systems,"Strategy, Turn-Based, Tactics"
,Fire Emblem Echoes: Shadows of Valentia - Cipher Companions Pack,3DS,6/22/2017,,T,Intelligent Systems,"Strategy, Turn-Based, Tactics"
77,ARMS,Switch,6/16/2017,7.1,E10+,Nintendo,"Action, Sports, Fighting, Individual, 3D, Combat, Boxing / Martial Arts"
,Fire Emblem Echoes: Shadows of Valentia - Rise of the Deliverance Pack,3DS,6/1/2017,,,Intelligent Systems,"Strategy, Turn-Based, Tactics"
,Fire Emblem Echoes: Shadows of Valentia - Flight from the Ruins,3DS,6/1/2017,,T,Intelligent Systems,"Strategy, Turn-Based, Tactics"
,Fire Emblem Echoes: Shadows of Valentia - Outpost Rescue,3DS,6/1/2017,,T,Intelligent Systems,"Strategy, Turn-Based, Tactics"
,Fire Emblem Echoes: Shadows of Valentia - Battle of Zofia Harbor,3DS,6/1/2017,,T,Intelligent Systems,"Strategy, Turn-Based, Tactics"
,Fire Emblem Echoes: Shadows of Valentia - Siege of Zofia Castle,3DS,6/1/2017,,T,Intelligent Systems,"Strategy, Turn-Based, Tactics"
,ARMS: Global Testpunch,Switch,5/26/2017,,,Nintendo,"Action, Fighting, 3D"
,Fire Emblem Echoes: Shadows of Valentia - Undaunted Heroes Pack,3DS,5/25/2017,,,Intelligent Systems,"Strategy, Turn-Based, Tactics"
,Fire Emblem Echoes: Shadows of Valentia - Inner Sanctum,3DS,5/25/2017,,T,Intelligent Systems,"Strategy, Turn-Based, Tactics"
,Fire Emblem Echoes: Shadows of Valentia - Lords of the Grave,3DS,5/25/2017,,T,Intelligent Systems,"Strategy, Turn-Based, Tactics"
,Fire Emblem Echoes: Shadows of Valentia - Lost Altars Pack,3DS,5/25/2017,,T,Intelligent Systems,"Strategy, Turn-Based, Tactics"
,Fire Emblem Echoes: Shadows of Valentia - Wealth Before Health,3DS,5/25/2017,,T,Intelligent Systems,"Strategy, Turn-Based, Tactics"
81,Fire Emblem Echoes: Shadows of Valentia,3DS,5/19/2017,8.6,T,Intelligent Systems,"Strategy, Turn-Based, Tactics"
,Fire Emblem Echoes: Shadows of Valentia - Fledging Warriors Pack,3DS,5/19/2017,,T,Intelligent Systems,"Strategy, Turn-Based, Tactics"
,Fire Emblem Echoes: Shadows of Valentia - The Astral Temple,3DS,5/19/2017,,T,Intelligent Systems,"Strategy, Turn-Based, Tactics"
,Fire Emblem Echoes: Shadows of Valentia - Wretches and Riches,3DS,5/19/2017,,T,Intelligent Systems,"Strategy, Turn-Based, Tactics"
,Fire Emblem Echoes: Shadows of Valentia - Band of Bandages,3DS,5/19/2017,,T,Intelligent Systems,"Strategy, Turn-Based, Tactics"
92,Mario Kart 8 Deluxe,Switch,4/28/2017,8.6,E,Nintendo,"Other, Racing, Arcade, Automobile"
83,BYE-BYE BOXBOY!,3DS,4/12/2017,7.9,E,HAL Labs,"Puzzle, Action"
57,Team Kirby Clash Deluxe,3DS,4/12/2017,6.6,E,"Nintendo,  HAL Labs","Action, Miscellaneous, General, Party / Minigame"
62,Mario Sports Superstars,3DS,3/24/2017,7.4,E,"Nintendo,  Camelot Software Planning","Sports, General"
,Splatoon 2: Global Testfire,Switch,3/24/2017,,,Nintendo,"Action, Shooter, Third-Person, Arcade"
96,The Legend of Zelda: Breath of the Wild,WIIU,3/3/2017,8.2,E10+,Nintendo,"Fantasy, Fantasy, Action Adventure, Open-World"
97,The Legend of Zelda: Breath of the Wild,Switch,3/3/2017,8.7,E10+,Nintendo,"Action Adventure, Open-World"
58,1-2-Switch,Switch,3/3/2017,4.8,E10+,Nintendo,"Miscellaneous, Party / Minigame"
80,"Snipperclips - Cut it out, together!",Switch,3/3/2017,8.2,E,"Nintendo,  SFB Games","Puzzle, General"
64,Tank Troopers,3DS,2/16/2017,5.8,E,Nintendo,"Simulation, Vehicle, Combat"
77,Poochy & Yoshis Woolly World,3DS,2/3/2017,8,E,Good-Feel,"Action, Platformer, 2D"
72,Fire Emblem Heroes,iOS,2/2/2017,7.3,T,"Nintendo,  Intelligent Systems","Role-Playing, Strategy, Turn-Based, General, Tactics"
85,Dragon Quest VIII: Journey of the Cursed King,3DS,1/20/2017,8.6,T,Cygames,"Role-Playing, Japanese-Style"
76,Super Mario Run,iOS,12/15/2016,6.3,,Nintendo,"Action, Platformer, 2D"
,Excitebots: Trick Racing,WIIU,12/15/2016,,,Nintendo,"Racing, Arcade, Automobile"
,Animal Crossing: New Leaf - Welcome Amiibo,3DS,12/5/2016,7.6,E,Nintendo,"Simulation, Virtual, Virtual Life"
73,Super Mario Maker for Nintendo 3DS,3DS,12/2/2016,6.4,E,Nintendo,"Action, Platformer, 2D"
87,Pokemon Sun,3DS,11/18/2016,7.7,E,Game Freak,"Role-Playing, Trainer"
87,Pokemon Moon,3DS,11/18/2016,7.7,E,Game Freak,"Role-Playing, Trainer"
,Pokemon Sun and Moon Dual Pack,3DS,11/18/2016,5.1,E,Game Freak,"Role-Playing, Trainer"
,Swapdoodle,3DS,11/17/2016,,E,Nintendo,"Miscellaneous, Application"
68,Mario Party: Star Rush,3DS,11/4/2016,6.9,E,"Nintendo,  Nd Cube","Miscellaneous, Party / Minigame"
,Hyrule Warriors Legends: A Link Between Worlds Pack,3DS,10/31/2016,,,Omega Force,"Action, ""Beat-Em-Up"", 3D"
,Pokemon Sun and Pokemon Moon Special Demo Version,3DS,10/18/2016,5.3,,Game Freak,"Role-Playing, Trainer"
73,Disney Magical World 2,3DS,10/14/2016,5.5,E,Bandai Namco Games,"Simulation, Virtual, Virtual Life"
76,Paper Mario: Color Splash,WIIU,10/7/2016,7.1,E,"Nintendo,  Intelligent Systems","Role-Playing, Japanese-Style"
72,Yo-kai Watch 2: Bony Spirits,3DS,9/30/2016,7.8,E10+,Level 5,"Role-Playing, Trainer"
70,Yo-kai Watch 2: Fleshy Souls,3DS,9/30/2016,7.7,E10+,Level 5,"Role-Playing, Trainer"
81,Dragon Quest VII: Fragments of the Forgotten Past,3DS,9/16/2016,8.3,E10+,ArtePiazza,"Role-Playing, Japanese-Style"
86,Picross 3D: Round 2,3DS,9/1/2016,7.5,E,HAL Labs,"Puzzle, Logic"
,Hyrule Warriors Legends: Phantom Hourglass & Spirit Tracks Pack,3DS,9/1/2016,,E10+,Omega Force,"Action, ""Beat-Em-Up"", 3D"
64,Metroid Prime: Federation Force,3DS,8/19/2016,5.5,T,"Next Level Games,  Nintendo","Action, Shooter, First-Person, Arcade"
78,Style Savvy: Fashion Forward,3DS,8/19/2016,6.9,E,syn Sophia,"Simulation, Virtual, Career"
,Metroid Prime: Blast Ball,3DS,7/21/2016,7.1,,Next Level Games,"Action, Shooter, First-Person, Arcade"
69,Pokemon GO,iOS,7/6/2016,5.5,,Niantic Labs,"Role-Playing, Trainer"
